NodeCount,SimCnt,totalCompiletime,KeyGenerationTime,EncryptionTime,ExecutionTime,DecryptionTime,ReferenceExecutionTime,Mse
8,0,2.2852910005894955,8.297624999613618,9.005083000374725,31.442040999536403,2.3599989999638638,3.350332999616512,2.9654707801862506e-11
8,1,1.627916000870755,8.221541998864268,8.751040999413817,22.37083399995754,2.154750000045169,2.5715410010889173,8.492551743104932e-11
8,2,1.5859160012041684,8.271958000477753,8.93875000110711,22.443916999691282,2.154333000362385,2.581167998869205,9.257200013156102e-12
8,3,1.6680419976182748,8.308291999128414,9.171457999400445,22.223874999326654,2.1479570004885318,2.574750000349013,1.5585738689588132e-10
8,4,1.2836670011893148,8.208665998608922,8.719456998733222,18.301499001609045,2.1426680013973964,2.3172920009528752,9.780057352579757e-12
12,0,2.6936670001305174,8.53037500019127,8.881249999831198,34.779583000272396,2.2398760011128616,3.428791998885572,4.644467883202497e-11
12,1,2.6034170005004853,8.357749999049702,8.809500001007109,33.896334000019124,2.1957500011922093,3.5042090003116755,3.405580608943656e-11
12,2,2.585791999081266,9.537874999296037,9.50941600058286,39.10237499985669,2.5917910006683087,4.004083999461727,1.4781641355903107e-10
12,3,2.4637920014356496,8.29479200001515,8.799208000709768,29.961958000058075,2.1697499996662373,3.130917000817135,2.8095887076846923e-11
12,4,2.0891250005661277,8.389750000787899,9.451124000406708,29.22124999895459,2.191500998378615,2.8684579992841464,1.2728448937210368e-11
16,0,3.483708000203478,8.415833000981365,8.726707997993799,42.97791700082598,2.203791998908855,4.0987499996845145,4.9256608612563704e-11
16,1,3.4297080019314308,8.340042000781978,8.72704300127225,41.75745800057484,2.207417001045542,4.098541998246219,1.0610643613739867e-10
16,2,3.507749999698717,8.311084000524716,8.796459000222967,42.25241600215668,2.207540999734192,4.124457998841535,2.883950630389042e-11
16,3,3.3937919997697463,8.25737499872048,8.825083001283929,41.95758300011221,2.198417998442892,4.083124998942367,3.0454174666311775e-11
16,4,2.9513329991459614,8.325667000463,8.949499000664218,37.802875000124914,2.1749999996245606,3.7019580013293307,2.0907641937184526e-11
20,0,4.491375000725384,8.658291999381618,8.776833001320483,54.62991700187558,2.181624999138876,5.163458999959403,3.886290978357775e-11
20,1,4.984207998859347,8.325707998665166,8.855999998559128,53.762332998303464,2.2327080005197786,5.0209170003654435,1.519711393194683e-10
20,2,3.692041998874629,8.276582999314996,8.742458001506748,45.69641699890781,2.1629169987136265,4.40116700156068,3.934640737331257e-11
20,3,3.6826669984293403,8.402791998378234,8.88041600046563,50.51400000047579,2.4485420017299475,4.59683299959579,2.715853930634893e-11
20,4,4.418874999828404,8.36791699839523,8.832542001982802,53.861667000091984,2.292543000294245,4.696958001659368,4.612992886982026e-11
24,0,6.193458999405266,8.33829200018954,8.776416998443892,66.26908300131618,2.1960000012768432,5.944332999206381,3.643162291667393e-11
24,1,5.150000999492477,8.65574999988894,8.861291998982779,57.54808299934666,2.2070420000090962,5.449417001727852,3.116856628440606e-11
24,2,4.896958000244922,8.475707998513826,8.841999000651413,53.58983399855788,2.1647919984388864,5.0591250001161825,7.03999480239359e-11
24,3,4.788790998645709,8.713541999895824,8.828791998894303,53.63295899951481,2.279875001477194,5.175375001272187,3.03991610529908e-11
24,4,4.574499998852843,8.357541999430396,8.782750999671407,53.4620830003405,2.19183300032455,5.272790996968979,3.8223960207716254e-11
